word,importance_score,method,label
,3.493011024678932e-05,SHAP,anger
 ,4.394678398966789e-09,SHAP,anger
!,0.005582918381315207,SHAP,anger
! ,0.0045267808498316965,SHAP,anger
"""",0.0007387268335127397,SHAP,anger
""" ",0.002576029336192473,SHAP,anger
#,-0.0012063984099118638,SHAP,anger
% ,-0.0026145981981244406,SHAP,anger
& ,-0.007515278967427245,SHAP,anger
',0.002547596308578721,SHAP,anger
' ,0.006971253809751943,SHAP,anger
(,-0.0008533385635436274,SHAP,anger
),-0.0015733463535226682,SHAP,anger
) ,8.976007471446588e-07,SHAP,anger
*,-0.0001207634447772372,SHAP,anger
* ,0.002454020761198687,SHAP,anger
+ ,-0.010748555891041178,SHAP,anger
",",0.0036147413983902274,SHAP,anger
", ",0.00331741548532073,SHAP,anger
-,-0.0005372106967008015,SHAP,anger
- ,-0.000856836194502741,SHAP,anger
.,0.0005408761496879579,SHAP,anger
. ,0.0024577338759776764,SHAP,anger
/,0.0006657058038005833,SHAP,anger
/ ,0.0005020641401642933,SHAP,anger
0,0.004530262216576375,SHAP,anger
0 ,0.0023165771330241115,SHAP,anger
00 ,0.0010162595925586565,SHAP,anger
000 ,0.0012782809790223837,SHAP,anger
1,-0.001286534521043197,SHAP,anger
1 ,-0.0028128680132795125,SHAP,anger
10,0.00041751818631989107,SHAP,anger
10 ,-0.0013680215171189049,SHAP,anger
100,-0.0016080156219686614,SHAP,anger
1000 ,0.0006178559269756079,SHAP,anger
12 ,0.004995682815206237,SHAP,anger
15 ,-0.001395796889482881,SHAP,anger
16,-0.0034841766755562276,SHAP,anger
16 ,-0.0009192712313961238,SHAP,anger
17 ,-0.000929541522054933,SHAP,anger
18,-0.0003951924785117929,SHAP,anger
18 ,-0.00014418061618926004,SHAP,anger
1800 ,7.969693397171795e-05,SHAP,anger
1919,0.0052287597005488354,SHAP,anger
1921,0.0054199529200559485,SHAP,anger
1936,-0.000777080343964155,SHAP,anger
1980 ,-0.00040380350401392207,SHAP,anger
1st ,-0.000485628883325262,SHAP,anger
2,0.0014124923218332697,SHAP,anger
2 ,-0.0015484471003421479,SHAP,anger
20 ,0.000918092584470287,SHAP,anger
2005 ,-0.005441250264993869,SHAP,anger
2007,-0.0368826997873839,SHAP,anger
2016,0.0019725853295919174,SHAP,anger
2018,-0.0010011896956712008,SHAP,anger
2019,-0.012963724679138977,SHAP,anger
21 ,0.00011225187336094677,SHAP,anger
25,-0.0027909106574952602,SHAP,anger
25 ,0.0028869925202646605,SHAP,anger
26,-0.0013814482372254133,SHAP,anger
27 ,-0.0002945614396594465,SHAP,anger
28,0.0012365935544949025,SHAP,anger
2nd ,6.355982761652645e-06,SHAP,anger
3,-0.003040055876974495,SHAP,anger
3 ,-0.003779806195780111,SHAP,anger
300,0.0017690835986286402,SHAP,anger
31,0.001519304649264086,SHAP,anger
35,-0.008447290434560273,SHAP,anger
3rd ,-0.002701221346796956,SHAP,anger
4,-0.0008309211066391852,SHAP,anger
4 ,-0.003124171575109358,SHAP,anger
400 ,0.0006862275030774375,SHAP,anger
43 ,-0.002612896292703226,SHAP,anger
48 ,-0.0024447669275105,SHAP,anger
49ers ,-0.00010154412666452117,SHAP,anger
5,-0.00038078884754213507,SHAP,anger
5 ,-0.002698606828441067,SHAP,anger
50,-0.0007664033793844283,SHAP,anger
51,-0.00010514522104391029,SHAP,anger
53 ,-0.007580044184578583,SHAP,anger
55,-0.0015727841722158094,SHAP,anger
6,0.00021280686632962897,SHAP,anger
6 ,0.00021649865399619254,SHAP,anger
600 ,0.0012184021034045145,SHAP,anger
69,-0.019505303644109517,SHAP,anger
7,0.001474814627727028,SHAP,anger
7 ,-0.0015906734464806503,SHAP,anger
72 ,-0.0035099028536933474,SHAP,anger
8,0.00524932035477832,SHAP,anger
8 ,-0.0012254880675754976,SHAP,anger
80,-0.005338192917406559,SHAP,anger
9,-0.00011901055889514585,SHAP,anger
90 ,0.0013054706359980628,SHAP,anger
90s ,0.0003649049067462329,SHAP,anger
91 ,-0.0008734746079426259,SHAP,anger
99 ,0.0002849296579370275,SHAP,anger
:,-0.0012947419454576448,SHAP,anger
: ,-0.006247364701037428,SHAP,anger
; ,-0.0003623930169851519,SHAP,anger
<,-0.0008436863136012107,SHAP,anger
=,0.0003323990968056023,SHAP,anger
= ,-0.00015071668894961476,SHAP,anger
>,-0.007994755277279723,SHAP,anger
> ,-0.009816339646931738,SHAP,anger
?,-0.01536079554959239,SHAP,anger
? ,-0.005920239754039078,SHAP,anger
@ ,-0.0004981612728442997,SHAP,anger
A,-0.00035059435661726943,SHAP,anger
A ,-0.0005350355981299703,SHAP,anger
AAA,-0.007768486742861569,SHAP,anger
AD ,0.0023438303459746143,SHAP,anger
ADOPTED,-0.002574888028902933,SHAP,anger
